game_id,player_id,team_id,season,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022100002,2546,1610612747,2021-22,26,9,4,0,4,2,0,0,1,2,3,9,0.333,2,4,0.5,1,2,0.5,-5
0022100002,200765,1610612747,2021-22,20,3,0,0,0,5,2,0,3,2,1,4,0.25,1,3,0.333,0,0,,1
0022100002,201566,1610612747,2021-22,35,8,5,1,4,4,0,0,4,4,4,13,0.308,0,4,0.0,0,0,,-23
0022100002,201599,1610612747,2021-22,13,2,2,0,2,1,1,0,0,3,1,1,1.0,0,0,,0,0,,2
0022100002,203076,1610612747,2021-22,39,33,11,2,9,2,1,2,0,0,15,26,0.577,1,5,0.2,2,7,0.286,-2
0022100002,203145,1610612747,2021-22,31,8,2,0,2,0,0,1,1,4,3,9,0.333,2,8,0.25,0,0,,10
0022100001,201950,1610612749,2021-22,18,12,1,1,0,1,1,0,0,0,5,7,0.714,2,4,0.5,0,0,,17
0022100001,203114,1610612749,2021-22,31,20,9,0,9,3,1,0,1,3,8,17,0.471,1,4,0.25,3,4,0.75,20
0022100001,1626192,1610612749,2021-22,30,20,3,0,3,2,1,1,0,0,8,13,0.615,4,9,0.444,0,0,,0
0022100001,1630572,1610612749,2021-22,7,0,1,0,1,1,0,0,0,0,0,1,0.0,0,0,,0,0,,9
0022100001,1630686,1610612749,2021-22,1,0,2,2,0,0,0,0,0,0,0,2,0.0,0,0,,0,0,,2
0022100001,201935,1610612751,2021-22,31,20,8,3,5,8,1,2,4,3,6,16,0.375,4,8,0.5,4,4,1.0,-20
0022100001,201949,1610612751,2021-22,21,1,0,0,0,2,0,1,0,3,0,2,0.0,0,1,0.0,1,2,0.5,-6
0022100001,201988,1610612751,2021-22,29,21,2,0,2,2,1,1,0,1,7,11,0.636,7,7,1.0,0,0,,7
0022100001,1627761,1610612751,2021-22,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,-9
0022100001,1628971,1610612751,2021-22,4,0,1,0,1,0,0,1,0,0,0,0,,0,0,,0,0,,-9
0022100001,1629651,1610612751,2021-22,24,12,7,0,7,0,0,0,0,3,6,9,0.667,0,0,,0,3,0.0,-15
0022100002,203952,1610612744,2021-22,26,12,7,1,6,1,1,0,2,3,5,10,0.5,2,5,0.4,0,0,,-5
0022100002,1626172,1610612744,2021-22,15,7,4,2,2,1,1,1,1,0,3,5,0.6,0,0,,1,2,0.5,-8
0022100002,2730,1610612747,2021-22,13,5,6,0,6,0,0,0,2,2,1,2,0.5,0,0,,3,4,0.75,-7
0022100002,202340,1610612747,2021-22,8,6,1,1,0,1,0,0,1,2,2,3,0.667,2,3,0.667,0,0,,1
0022100001,1629620,1610612749,2021-22,4,3,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,0,0,,11
0022100002,2738,1610612744,2021-22,23,12,1,0,1,2,0,1,0,1,4,7,0.571,2,5,0.4,2,2,1.0,8
0022100002,201939,1610612744,2021-22,36,21,10,1,9,10,3,0,4,1,5,21,0.238,2,8,0.25,9,9,1.0,4
0022100002,203110,1610612744,2021-22,30,6,8,3,5,6,1,0,5,3,2,5,0.4,0,0,,2,4,0.5,-2
0022100002,1630541,1610612744,2021-22,6,2,2,0,2,0,0,0,0,0,1,3,0.333,0,0,,0,0,,-1
0022100001,201572,1610612749,2021-22,28,8,5,2,3,0,1,3,0,3,3,9,0.333,2,4,0.5,0,0,,0
0022100001,200794,1610612751,2021-22,5,0,3,1,2,0,0,1,1,0,0,0,,0,0,,0,0,,-1
