id,game_date,season,home_team_id,away_team_id,home_score,away_score
0022400061,2024-10-22,2024-25,1610612738,1610612752,132,109
0022400062,2024-10-22,2024-25,1610612747,1610612750,110,103
0022400072,2024-10-23,2024-25,1610612757,1610612744,104,140
0022400068,2024-10-23,2024-25,1610612745,1610612766,105,110
0022400071,2024-10-23,2024-25,1610612746,1610612756,113,116
0022400065,2024-10-23,2024-25,1610612748,1610612753,97,116
0022400070,2024-10-23,2024-25,1610612762,1610612763,124,126
0022400063,2024-10-23,2024-25,1610612765,1610612754,109,115
0022400064,2024-10-23,2024-25,1610612737,1610612751,120,116
0022400067,2024-10-23,2024-25,1610612761,1610612739,106,136
0022400069,2024-10-23,2024-25,1610612740,1610612741,123,111
0022400066,2024-10-23,2024-25,1610612755,1610612749,109,124
0022400075,2024-10-24,2024-25,1610612743,1610612760,87,102
0022400073,2024-10-24,2024-25,1610612764,1610612738,102,122
0022400074,2024-10-24,2024-25,1610612742,1610612759,120,109
0022400076,2024-10-24,2024-25,1610612758,1610612750,115,117
0022400079,2024-10-25,2024-25,1610612737,1610612766,125,120
0022400086,2024-10-25,2024-25,1610612757,1610612740,103,105
0022400084,2024-10-25,2024-25,1610612762,1610612744,86,127
0022400082,2024-10-25,2024-25,1610612745,1610612763,128,108
0022400077,2024-10-25,2024-25,1610612753,1610612751,116,101
0022400081,2024-10-25,2024-25,1610612752,1610612754,123,98
0022400078,2024-10-25,2024-25,1610612761,1610612755,115,107
0022400085,2024-10-25,2024-25,1610612747,1610612756,123,116
0022400080,2024-10-25,2024-25,1610612739,1610612765,113,101
0022400083,2024-10-25,2024-25,1610612749,1610612741,122,133
0022400089,2024-10-26,2024-25,1610612765,1610612738,118,124
0022400091,2024-10-26,2024-25,1610612741,1610612760,95,114
0022400094,2024-10-26,2024-25,1610612759,1610612745,109,106
0022400087,2024-10-26,2024-25,1610612743,1610612746,104,109
0022400096,2024-10-26,2024-25,1610612747,1610612758,131,127
0022400095,2024-10-26,2024-25,1610612756,1610612742,114,102
0022400093,2024-10-26,2024-25,1610612750,1610612761,112,101
0022400092,2024-10-26,2024-25,1610612763,1610612753,124,111
0022400090,2024-10-26,2024-25,1610612764,1610612739,116,135
0022400088,2024-10-26,2024-25,1610612766,1610612748,106,114
0022400099,2024-10-27,2024-25,1610612757,1610612740,125,103
0022400098,2024-10-27,2024-25,1610612751,1610612749,115,102
0022400097,2024-10-27,2024-25,1610612754,1610612755,114,118
0022400100,2024-10-27,2024-25,1610612760,1610612737,128,104
0022400101,2024-10-27,2024-25,1610612744,1610612746,104,112
0022400104,2024-10-28,2024-25,1610612738,1610612749,119,108
0022400106,2024-10-28,2024-25,1610612752,1610612739,104,110
0022400108,2024-10-28,2024-25,1610612763,1610612741,123,126
0022400111,2024-10-28,2024-25,1610612756,1610612747,109,105
0022400102,2024-10-28,2024-25,1610612753,1610612754,119,115
0022400112,2024-10-28,2024-25,1610612758,1610612757,111,98
0022400109,2024-10-28,2024-25,1610612759,1610612745,101,106
0022400110,2024-10-28,2024-25,1610612742,1610612762,110,102
0022400103,2024-10-28,2024-25,1610612737,1610612764,119,121
0022400107,2024-10-28,2024-25,1610612761,1610612743,125,127
0022400105,2024-10-28,2024-25,1610612748,1610612765,106,98
0022400116,2024-10-29,2024-25,1610612744,1610612740,124,106
0022400114,2024-10-29,2024-25,1610612750,1610612742,114,120
0022400113,2024-10-29,2024-25,1610612751,1610612743,139,144
0022400115,2024-10-29,2024-25,1610612762,1610612758,96,113
0022400121,2024-10-30,2024-25,1610612764,1610612737,133,120
0022400123,2024-10-30,2024-25,1610612741,1610612753,102,99
0022400118,2024-10-30,2024-25,1610612739,1610612747,134,110
0022400122,2024-10-30,2024-25,1610612748,1610612752,107,116
0022400119,2024-10-30,2024-25,1610612754,1610612738,135,132
0022400125,2024-10-30,2024-25,1610612760,1610612759,105,93
0022400120,2024-10-30,2024-25,1610612755,1610612765,95,105
0022400126,2024-10-30,2024-25,1610612744,1610612740,104,89
0022400127,2024-10-30,2024-25,1610612746,1610612757,105,106
0022400124,2024-10-30,2024-25,1610612763,1610612751,106,119
0022400117,2024-10-30,2024-25,1610612766,1610612761,138,133
0022400129,2024-10-31,2024-25,1610612742,1610612745,102,108
0022400131,2024-10-31,2024-25,1610612746,1610612756,119,125
0022400130,2024-10-31,2024-25,1610612762,1610612759,88,106
0022400128,2024-10-31,2024-25,1610612763,1610612749,122,99
0022400135,2024-11-01,2024-25,1610612737,1610612758,115,123
0022400139,2024-11-01,2024-25,1610612750,1610612743,119,116
0022400136,2024-11-01,2024-25,1610612751,1610612741,120,112
0022400134,2024-11-01,2024-25,1610612765,1610612752,98,128
0022400140,2024-11-01,2024-25,1610612757,1610612760,114,137
0022400132,2024-11-01,2024-25,1610612766,1610612738,109,124
0022400133,2024-11-01,2024-25,1610612739,1610612753,120,109
0022400138,2024-11-01,2024-25,1610612740,1610612754,125,118
0022400137,2024-11-01,2024-25,1610612761,1610612747,125,131
0022400141,2024-11-02,2024-25,1610612766,1610612738,103,113
0022400150,2024-11-02,2024-25,1610612746,1610612760,92,105
0022400147,2024-11-02,2024-25,1610612764,1610612748,98,118
0022400142,2024-11-02,2024-25,1610612755,1610612763,107,124
0022400149,2024-11-02,2024-25,1610612756,1610612757,103,97
0022400143,2024-11-02,2024-25,1610612761,1610612758,131,128
0022400145,2024-11-02,2024-25,1610612749,1610612739,113,114
0022400144,2024-11-02,2024-25,1610612745,1610612744,121,127
0022400146,2024-11-02,2024-25,1610612759,1610612750,113,103
0022400148,2024-11-02,2024-25,1610612743,1610612762,129,103
0022400153,2024-11-03,2024-25,1610612742,1610612753,108,85
0022400152,2024-11-03,2024-25,1610612740,1610612737,111,126
0022400151,2024-11-03,2024-25,1610612751,1610612765,92,106
0022400157,2024-11-04,2024-25,1610612737,1610612738,93,123
0022400164,2024-11-04,2024-25,1610612740,1610612757,100,118
0022400156,2024-11-04,2024-25,1610612765,1610612747,115,103
0022400159,2024-11-04,2024-25,1610612748,1610612758,110,111
0022400154,2024-11-04,2024-25,1610612739,1610612749,116,114
0022400163,2024-11-04,2024-25,1610612760,1610612753,102,86
0022400167,2024-11-04,2024-25,1610612756,1610612755,118,116
0022400168,2024-11-04,2024-25,1610612746,1610612759,113,104
0022400160,2024-11-04,2024-25,1610612741,1610612762,126,135
0022400166,2024-11-04,2024-25,1610612743,1610612761,121,119
0022400155,2024-11-04,2024-25,1610612764,1610612744,112,125
0022400161,2024-11-04,2024-25,1610612745,1610612752,109,97
0022400162,2024-11-04,2024-25,1610612750,1610612766,114,93
0022400158,2024-11-04,2024-25,1610612751,1610612763,106,104
0022400165,2024-11-04,2024-25,1610612742,1610612754,127,134
0022400172,2024-11-06,2024-25,1610612738,1610612744,112,118
0022400175,2024-11-06,2024-25,1610612740,1610612739,122,131
0022400176,2024-11-06,2024-25,1610612742,1610612741,119,99
0022400173,2024-11-06,2024-25,1610612745,1610612759,127,100
0022400174,2024-11-06,2024-25,1610612763,1610612747,131,114
0022400170,2024-11-06,2024-25,1610612754,1610612753,118,111
0022400179,2024-11-06,2024-25,1610612746,1610612755,110,98
0022400178,2024-11-06,2024-25,1610612756,1610612748,115,112
0022400177,2024-11-06,2024-25,1610612743,1610612760,124,122
0022400180,2024-11-06,2024-25,1610612758,1610612761,122,107
0022400169,2024-11-06,2024-25,1610612766,1610612765,108,107
0022400171,2024-11-06,2024-25,1610612737,1610612752,121,116
0022400182,2024-11-07,2024-25,1610612749,1610612762,123,100
0022400181,2024-11-07,2024-25,1610612741,1610612750,119,135
0022400183,2024-11-07,2024-25,1610612759,1610612757,118,105
0022400185,2024-11-08,2024-25,1610612765,1610612737,122,121
0022400190,2024-11-08,2024-25,1610612742,1610612756,113,114
0022400194,2024-11-08,2024-25,1610612743,1610612748,135,122
0022400188,2024-11-08,2024-25,1610612739,1610612744,136,117
0022400196,2024-11-08,2024-25,1610612758,1610612746,98,107
0022400193,2024-11-08,2024-25,1610612750,1610612757,127,102
0022400187,2024-11-08,2024-25,1610612738,1610612751,108,104
0022400186,2024-11-08,2024-25,1610612753,1610612740,115,88
0022400192,2024-11-08,2024-25,1610612760,1610612745,126,107
0022400191,2024-11-08,2024-25,1610612763,1610612764,128,104
0022400184,2024-11-08,2024-25,1610612766,1610612754,103,83
0022400195,2024-11-08,2024-25,1610612747,1610612755,116,106
0022400189,2024-11-08,2024-25,1610612752,1610612749,116,94
0022400198,2024-11-09,2024-25,1610612737,1610612741,113,125
0022400199,2024-11-09,2024-25,1610612739,1610612751,105,100
0022400200,2024-11-09,2024-25,1610612746,1610612761,105,103
0022400197,2024-11-09,2024-25,1610612759,1610612762,110,111
0022400208,2024-11-10,2024-25,1610612743,1610612742,122,120
0022400207,2024-11-10,2024-25,1610612760,1610612744,116,127
0022400206,2024-11-10,2024-25,1610612750,1610612748,94,95
0022400202,2024-11-10,2024-25,1610612749,1610612738,107,113
0022400204,2024-11-10,2024-25,1610612753,1610612764,121,94
0022400210,2024-11-10,2024-25,1610612757,1610612763,89,134
0022400209,2024-11-10,2024-25,1610612756,1610612758,118,127
0022400201,2024-11-10,2024-25,1610612765,1610612745,99,101
0022400211,2024-11-10,2024-25,1610612747,1610612761,123,103
0022400203,2024-11-10,2024-25,1610612754,1610612752,132,121
0022400205,2024-11-10,2024-25,1610612755,1610612766,107,105
0022400212,2024-11-11,2024-25,1610612741,1610612739,113,119
0022400214,2024-11-11,2024-25,1610612740,1610612751,105,107
0022400215,2024-11-11,2024-25,1610612760,1610612746,134,128
0022400216,2024-11-11,2024-25,1610612759,1610612758,116,96
