game_id,team_id,team_tricode,is_home,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,offensive_rating,defensive_rating,net_rating,pace,pie,season
0022400536,1610612757,POR,True,98,51,16,35,24,6,6,16,15,36,95,0.379,13,45,0.289,13,19,0.684,101.0,122.7,-21.6,97.0,,2024-25
0022400536,1610612748,MIA,False,119,43,8,35,31,13,5,10,16,44,92,0.478,19,44,0.432,12,16,0.75,122.7,101.0,21.6,97.0,,2024-25
0022400239,1610612757,POR,True,114,40,18,22,31,16,10,20,21,44,95,0.463,14,38,0.368,12,19,0.632,111.8,106.8,5.0,102.5,,2024-25
0022400239,1610612737,ATL,False,110,47,16,31,30,10,7,25,19,39,85,0.459,11,32,0.344,21,25,0.84,106.8,111.8,-5.0,102.5,,2024-25
0022400245,1610612748,MIA,True,106,53,9,44,26,10,2,13,13,36,87,0.414,13,44,0.295,21,23,0.913,105.0,86.4,18.5,102.0,,2024-25
0022400245,1610612755,PHI,False,89,42,2,40,25,10,3,14,17,35,84,0.417,10,41,0.244,9,12,0.75,86.4,105.0,-18.5,102.0,,2024-25
0022400891,1610612738,BOS,True,128,52,18,34,24,5,6,9,14,45,97,0.464,23,54,0.426,15,17,0.882,134.7,122.9,11.8,95.5,,2024-25
0022400891,1610612757,POR,False,118,39,8,31,19,4,3,8,16,45,90,0.5,16,40,0.4,12,17,0.706,122.9,134.7,-11.8,95.5,,2024-25
0022400290,1610612755,PHI,True,115,42,10,32,19,12,7,14,26,43,96,0.448,12,33,0.364,17,23,0.739,102.7,109.9,-7.2,100.98,,2024-25
0022400290,1610612745,HOU,False,122,51,14,37,23,10,14,20,19,40,88,0.455,10,31,0.323,32,38,0.842,109.9,102.7,7.2,100.98,,2024-25
0022400520,1610612763,MEM,True,115,43,10,33,20,9,8,19,28,42,84,0.5,10,32,0.313,21,30,0.7,110.6,114.4,-3.8,104.0,,2024-25
0022400520,1610612745,HOU,False,119,44,16,28,21,13,3,12,23,41,96,0.427,13,34,0.382,24,41,0.585,114.4,110.6,3.8,104.0,,2024-25
0022400137,1610612761,TOR,True,125,44,15,29,35,4,6,11,29,52,107,0.486,10,35,0.286,11,13,0.846,121.4,127.2,-5.8,103.0,,2024-25
0022400137,1610612747,LAL,False,131,43,9,34,29,6,5,10,17,42,88,0.477,11,32,0.344,36,41,0.878,127.2,121.4,5.8,103.0,,2024-25
0022401100,1610612763,MEM,True,125,43,8,35,22,7,6,16,23,44,92,0.478,18,44,0.409,19,22,0.864,116.8,126.4,-9.6,106.5,,2024-25
0022401100,1610612744,GSW,False,134,49,15,34,29,11,3,11,22,42,99,0.424,22,56,0.393,28,28,1.0,126.4,116.8,9.6,106.5,,2024-25
0022400570,1610612747,LAL,True,117,34,6,28,33,12,4,6,12,47,90,0.522,13,34,0.382,10,14,0.714,123.2,113.7,9.5,95.0,,2024-25
0022400570,1610612748,MIA,False,108,37,3,34,25,3,6,19,13,39,73,0.534,16,36,0.444,14,15,0.933,113.7,123.2,-9.5,95.0,,2024-25
0022400335,1610612738,BOS,True,111,41,7,34,27,5,6,6,18,40,87,0.46,17,53,0.321,14,16,0.875,118.1,110.5,7.6,94.5,,2024-25
0022400335,1610612749,MIL,False,105,51,12,39,16,4,2,9,16,40,94,0.426,11,29,0.379,14,17,0.824,110.5,118.1,-7.6,94.5,,2024-25
0022400843,1610612762,UTA,True,101,34,7,27,32,9,2,9,13,38,84,0.452,16,44,0.364,9,17,0.529,103.1,121.6,-18.6,97.5,,2024-25
0022400843,1610612758,SAC,False,118,47,7,40,28,6,7,12,13,46,87,0.529,15,36,0.417,11,12,0.917,121.6,103.1,18.6,97.5,,2024-25
0022400611,1610612746,LAC,True,99,40,10,30,24,4,7,9,20,37,94,0.394,9,42,0.214,16,17,0.941,103.1,116.7,-13.5,96.0,,2024-25
0022400611,1610612741,CHI,False,112,54,17,37,25,7,6,10,17,38,94,0.404,15,46,0.326,21,26,0.808,116.7,103.1,13.5,96.0,,2024-25
0022400947,1610612761,TOR,True,118,59,17,42,33,7,5,20,17,44,100,0.44,16,40,0.4,14,18,0.778,113.5,101.0,12.5,104.0,,2024-25
0022400947,1610612755,PHI,False,105,40,10,30,19,13,11,9,20,41,96,0.427,7,35,0.2,16,22,0.727,101.0,113.5,-12.5,104.0,,2024-25
0022400166,1610612743,DEN,True,121,44,14,30,29,9,10,17,21,41,83,0.494,10,31,0.323,29,38,0.763,118.6,115.5,3.1,102.5,,2024-25
0022400166,1610612761,TOR,False,119,41,14,27,38,12,3,13,27,47,103,0.456,13,39,0.333,12,18,0.667,115.5,118.6,-3.1,102.5,,2024-25
0022400427,1610612737,ATL,True,120,47,9,38,34,7,2,11,16,44,86,0.512,15,37,0.405,17,22,0.773,122.4,110.0,12.4,99.0,,2024-25
0022400427,1610612748,MIA,False,110,42,8,34,23,9,4,8,19,40,90,0.444,13,41,0.317,17,18,0.944,110.0,122.4,-12.4,99.0,,2024-25
0022400740,1610612756,PHX,True,135,49,12,37,31,6,15,7,17,47,104,0.452,22,56,0.393,19,21,0.905,125.0,117.6,7.4,97.81,,2024-25
0022400740,1610612762,UTA,False,127,63,25,38,29,5,7,10,16,48,117,0.41,13,48,0.271,18,20,0.9,117.6,125.0,-7.4,97.81,,2024-25
0022400562,1610612761,TOR,True,110,56,13,43,35,4,4,10,19,45,89,0.506,11,34,0.324,9,15,0.6,117.0,103.2,13.8,94.0,,2024-25
