game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022400061,1610612738,2024-25,True,240,132,40,11,29,33,6,3,4,15,48,95,0.505,29,61,0.475,7,8,0.875,23
0022400062,1610612750,2024-25,False,240,103,47,12,35,17,4,1,16,22,35,85,0.412,13,41,0.317,20,27,0.741,-7
0022400062,1610612747,2024-25,True,240,110,46,15,31,22,7,8,7,22,42,95,0.442,5,30,0.167,21,25,0.84,7
0022400061,1610612752,2024-25,False,240,109,34,5,29,20,2,3,12,12,43,78,0.551,11,30,0.367,12,16,0.75,-23
0022400072,1610612744,2024-25,False,240,140,57,15,42,38,13,5,18,27,48,93,0.516,20,48,0.417,24,30,0.8,36
0022400068,1610612745,2024-25,True,240,105,43,16,27,19,8,4,8,18,38,103,0.369,13,43,0.302,16,20,0.8,-5
0022400071,1610612746,2024-25,True,265,113,51,13,38,27,9,1,22,29,42,92,0.457,8,29,0.276,21,30,0.7,-3
0022400065,1610612753,2024-25,False,240,116,57,18,39,28,8,8,14,21,41,96,0.427,18,49,0.367,16,22,0.727,19
0022400072,1610612757,2024-25,True,240,104,42,13,29,21,10,4,18,22,36,92,0.391,8,34,0.235,24,30,0.8,-36
0022400070,1610612762,2024-25,True,240,124,49,14,35,21,7,9,17,24,40,85,0.471,10,26,0.385,34,45,0.756,-2
0022400063,1610612765,2024-25,True,240,109,38,12,26,22,6,2,14,21,38,88,0.432,9,33,0.273,24,28,0.857,-6
0022400064,1610612737,2024-25,True,240,120,45,12,33,25,12,9,16,20,39,80,0.488,9,28,0.321,33,46,0.717,4
0022400067,1610612739,2024-25,False,240,136,36,8,28,29,10,9,13,22,51,87,0.586,14,30,0.467,20,26,0.769,30
0022400069,1610612740,2024-25,True,240,123,42,7,35,29,15,10,12,17,45,97,0.464,14,37,0.378,19,21,0.905,12
0022400069,1610612741,2024-25,False,240,111,47,9,38,26,4,2,21,16,42,86,0.488,10,34,0.294,17,25,0.68,-12
0022400065,1610612748,2024-25,True,240,97,41,9,32,24,5,8,11,19,32,82,0.39,11,34,0.324,22,29,0.759,-19
0022400066,1610612749,2024-25,False,240,124,46,8,38,27,4,9,14,23,43,80,0.538,16,37,0.432,22,31,0.71,15
0022400064,1610612751,2024-25,False,240,116,43,12,31,21,8,6,19,32,40,91,0.44,17,43,0.395,19,25,0.76,-4
0022400063,1610612754,2024-25,False,240,115,39,7,32,32,10,8,15,23,42,83,0.506,9,31,0.29,22,25,0.88,6
0022400071,1610612756,2024-25,False,265,116,42,4,38,25,12,9,22,23,38,78,0.487,15,38,0.395,25,34,0.735,3
0022400067,1610612761,2024-25,True,240,106,38,14,24,25,8,6,19,24,36,86,0.419,12,31,0.387,22,29,0.759,-30
0022400070,1610612763,2024-25,False,240,126,41,13,28,28,7,5,13,35,43,91,0.473,17,45,0.378,23,32,0.719,2
0022400068,1610612766,2024-25,False,240,110,56,15,41,20,6,10,17,21,38,85,0.447,15,39,0.385,19,24,0.792,5
0022400066,1610612755,2024-25,True,240,109,49,17,32,18,4,2,10,28,41,98,0.418,8,31,0.258,19,27,0.704,-15
0022400075,1610612760,2024-25,False,240,102,49,13,36,23,9,13,12,15,43,101,0.426,8,36,0.222,8,12,0.667,15
0022400073,1610612764,2024-25,True,240,102,40,10,30,27,9,6,15,19,41,95,0.432,7,36,0.194,13,18,0.722,-20
0022400073,1610612738,2024-25,False,240,122,49,12,37,21,7,3,14,19,42,90,0.467,17,45,0.378,21,27,0.778,20
0022400074,1610612742,2024-25,True,240,120,50,17,33,27,9,5,10,21,42,102,0.412,19,44,0.432,17,23,0.739,11
0022400075,1610612743,2024-25,True,240,87,57,17,40,29,11,7,16,12,35,98,0.357,7,38,0.184,10,14,0.714,-15
0022400076,1610612750,2024-25,False,240,117,42,6,36,24,3,2,17,24,41,86,0.477,20,50,0.4,15,17,0.882,2
0022400074,1610612759,2024-25,False,240,109,52,12,40,30,6,5,19,18,39,86,0.453,12,36,0.333,19,24,0.792,-11
0022400076,1610612758,2024-25,True,240,115,38,4,34,21,7,2,9,18,38,82,0.463,11,29,0.379,28,35,0.8,-2
0022400079,1610612737,2024-25,True,240,125,39,7,32,25,11,9,14,28,39,81,0.481,14,38,0.368,33,38,0.868,5
0022400086,1610612740,2024-25,False,240,105,44,11,33,25,12,8,14,22,36,86,0.419,12,32,0.375,21,31,0.677,2
0022400084,1610612744,2024-25,False,240,127,60,19,41,35,15,6,15,25,51,106,0.481,20,50,0.4,5,6,0.833,41
0022400082,1610612745,2024-25,True,240,128,64,23,41,20,10,4,19,32,43,98,0.439,17,43,0.395,25,36,0.694,20
0022400077,1610612751,2024-25,False,240,101,37,8,29,22,7,3,19,31,35,83,0.422,14,37,0.378,17,21,0.81,-15
0022400081,1610612752,2024-25,True,240,123,43,11,32,19,5,4,12,18,44,84,0.524,12,27,0.444,23,29,0.793,25
0022400081,1610612754,2024-25,False,240,98,33,9,24,28,8,6,16,24,41,83,0.494,3,30,0.1,13,20,0.65,-25
0022400078,1610612755,2024-25,False,240,107,28,10,18,19,11,5,16,32,29,76,0.382,9,29,0.31,40,53,0.755,-8
0022400085,1610612756,2024-25,False,240,116,34,5,29,35,8,4,17,26,42,82,0.512,17,37,0.459,15,17,0.882,-7
0022400082,1610612763,2024-25,False,240,108,43,14,29,24,8,8,19,25,38,91,0.418,10,28,0.357,22,36,0.611,-20
0022400080,1610612765,2024-25,False,240,101,42,8,34,25,3,5,22,22,38,81,0.469,13,32,0.406,12,17,0.706,-12
0022400080,1610612739,2024-25,True,240,113,39,5,34,28,13,4,13,15,42,82,0.512,13,34,0.382,16,23,0.696,12
0022400083,1610612741,2024-25,False,240,133,46,9,37,30,10,4,10,17,46,96,0.479,21,47,0.447,20,23,0.87,11
0022400085,1610612747,2024-25,True,240,123,37,6,31,33,10,5,13,18,40,75,0.533,14,27,0.519,29,39,0.744,7
0022400077,1610612753,2024-25,True,240,116,39,5,34,28,10,7,13,19,39,75,0.52,15,30,0.5,23,33,0.697,15
0022400086,1610612757,2024-25,True,240,103,48,10,38,26,7,11,20,22,37,90,0.411,13,37,0.351,16,20,0.8,-2
0022400078,1610612761,2024-25,True,240,115,54,18,36,25,11,13,27,34,35,76,0.461,6,23,0.261,39,46,0.848,8
0022400084,1610612762,2024-25,True,240,86,45,14,31,18,8,5,22,11,29,92,0.315,9,42,0.214,19,26,0.731,-41
0022400079,1610612766,2024-25,False,240,120,53,22,31,22,7,4,18,28,37,96,0.385,21,51,0.412,25,31,0.806,-5
0022400083,1610612749,2024-25,True,240,122,47,8,39,24,5,3,15,14,46,93,0.495,13,40,0.325,17,25,0.68,-11
0022400089,1610612738,2024-25,False,240,124,37,13,24,19,10,6,10,16,38,90,0.422,22,48,0.458,26,30,0.867,6
0022400091,1610612741,2024-25,True,240,95,61,11,50,23,6,2,26,19,32,92,0.348,15,53,0.283,16,22,0.727,-19
0022400094,1610612745,2024-25,False,240,106,34,8,26,21,10,3,11,24,38,92,0.413,13,41,0.317,17,21,0.81,-3
0022400087,1610612746,2024-25,False,240,109,44,11,33,30,4,5,17,24,40,82,0.488,12,33,0.364,17,21,0.81,5
0022400096,1610612747,2024-25,True,240,131,45,13,32,32,8,3,19,19,48,92,0.522,14,34,0.412,21,24,0.875,4
0022400095,1610612756,2024-25,True,240,114,47,7,40,26,3,4,11,17,36,80,0.45,14,39,0.359,28,37,0.757,12
0022400091,1610612760,2024-25,False,240,114,54,9,45,21,15,5,10,18,45,107,0.421,8,40,0.2,16,20,0.8,19
0022400093,1610612761,2024-25,False,240,101,46,12,34,29,9,4,20,22,41,90,0.456,10,29,0.345,9,13,0.692,-11
0022400092,1610612763,2024-25,True,240,124,42,6,36,38,10,5,18,24,46,86,0.535,13,34,0.382,19,24,0.792,13
0022400089,1610612765,2024-25,True,240,118,44,9,35,27,4,7,15,22,43,88,0.489,14,39,0.359,18,22,0.818,-6
0022400090,1610612739,2024-25,False,240,135,48,11,37,27,13,10,17,27,47,88,0.534,18,39,0.462,23,34,0.676,19
0022400087,1610612743,2024-25,True,240,104,37,10,27,20,13,4,10,22,35,87,0.402,14,35,0.4,20,24,0.833,-5
0022400092,1610612753,2024-25,False,240,111,41,12,29,21,10,6,19,20,37,87,0.425,17,48,0.354,20,28,0.714,-13
0022400094,1610612759,2024-25,True,240,109,49,10,39,23,6,7,17,18,39,79,0.494,8,20,0.4,23,28,0.821,3
0022400090,1610612764,2024-25,True,240,116,46,18,28,25,6,9,15,25,37,96,0.385,15,43,0.349,27,32,0.844,-19
0022400095,1610612742,2024-25,False,240,102,46,12,34,22,6,2,9,28,37,93,0.398,13,41,0.317,15,18,0.833,-12
0022400088,1610612748,2024-25,False,240,114,43,13,30,33,8,6,14,19,40,86,0.465,14,34,0.412,20,28,0.714,8
0022400093,1610612750,2024-25,True,240,112,41,9,32,29,9,8,13,16,39,83,0.47,14,37,0.378,20,26,0.769,11
0022400096,1610612758,2024-25,False,240,127,32,5,27,32,12,5,14,19,45,88,0.511,15,44,0.341,22,25,0.88,-4
0022400088,1610612766,2024-25,True,240,106,46,15,31,20,6,5,20,24,39,89,0.438,13,41,0.317,15,21,0.714,-8
0022400099,1610612740,2024-25,False,240,103,39,15,24,24,9,8,17,22,38,88,0.432,8,29,0.276,19,24,0.792,-22
0022400098,1610612749,2024-25,False,240,102,43,7,36,20,7,3,18,17,33,74,0.446,10,33,0.303,26,31,0.839,-13
0022400098,1610612751,2024-25,True,240,115,47,12,35,23,9,3,12,26,39,91,0.429,16,45,0.356,21,23,0.913,13
0022400097,1610612754,2024-25,True,265,114,37,7,30,28,8,4,20,26,39,84,0.464,13,32,0.406,23,34,0.676,-4
0022400097,1610612755,2024-25,False,265,118,54,20,34,15,9,4,20,26,42,98,0.429,11,42,0.262,23,31,0.742,4
0022400100,1610612737,2024-25,False,240,104,49,17,32,24,7,4,20,23,36,91,0.396,10,31,0.323,22,29,0.759,-24
0022400099,1610612757,2024-25,True,240,125,51,22,29,25,9,8,16,21,43,93,0.462,14,35,0.4,25,32,0.781,22
0022400100,1610612760,2024-25,True,240,128,45,11,34,26,13,12,10,23,44,89,0.494,16,40,0.4,24,32,0.75,24
0022400101,1610612744,2024-25,True,240,104,47,14,33,19,10,5,21,22,38,88,0.432,14,43,0.326,14,22,0.636,-8
0022400101,1610612746,2024-25,False,240,112,48,14,34,27,11,2,18,21,42,90,0.467,10,32,0.313,18,23,0.783,8
0022400104,1610612738,2024-25,True,240,119,38,4,34,24,5,5,14,18,43,87,0.494,18,47,0.383,15,19,0.789,11
0022400106,1610612739,2024-25,False,240,110,41,9,32,21,10,5,14,20,39,82,0.476,12,36,0.333,20,24,0.833,6
0022400108,1610612741,2024-25,False,240,126,50,11,39,36,5,6,9,15,45,100,0.45,25,53,0.472,11,17,0.647,3
0022400111,1610612747,2024-25,False,240,105,46,11,35,25,5,6,12,19,39,94,0.415,14,32,0.438,13,18,0.722,-4
0022400104,1610612749,2024-25,False,240,108,43,8,35,18,7,6,17,24,37,82,0.451,8,31,0.258,26,31,0.839,-11
0022400106,1610612752,2024-25,True,240,104,43,13,30,22,8,3,16,21,40,90,0.444,9,28,0.321,15,18,0.833,-6
0022400102,1610612753,2024-25,True,240,119,46,11,35,26,7,6,15,25,39,83,0.47,13,41,0.317,28,38,0.737,4
0022400112,1610612757,2024-25,False,240,98,46,12,34,17,5,4,18,22,35,83,0.422,4,22,0.182,24,30,0.8,-13
0022400112,1610612758,2024-25,True,240,111,40,9,31,25,8,6,16,27,37,81,0.457,14,35,0.4,23,25,0.92,13
0022400109,1610612759,2024-25,True,240,101,49,17,32,22,6,6,17,21,37,87,0.425,10,33,0.303,17,21,0.81,-5
0022400110,1610612762,2024-25,False,240,102,50,15,35,24,7,5,15,17,34,92,0.37,10,35,0.286,24,29,0.828,-8
0022400108,1610612763,2024-25,True,240,123,60,18,42,37,5,9,10,21,51,111,0.459,14,43,0.326,7,13,0.538,-3
0022400103,1610612764,2024-25,False,240,121,43,9,34,24,7,3,18,25,41,91,0.451,21,44,0.477,18,22,0.818,2
